563542519,-1153860538
1966210993,940580454
-1164792962,-2132156157
-63786626,84956350
1361330371,1308423147
-843191280,1020629384
1095884452,1566484795
475659093,-1607760370
-1849513769,-30983781
-2054735655,-624678644
1665952724,215956475
-947351461,634792981
-948445467,-1471290141
1231466618,1773030871
-1336194380,1481172153
-1508305555,-1848430060
1569661185,2073819656
-1512014132,-29681933
1756350327,-362192872
1598594634,344622267
825328371,1870030982
634682512,95454373
-1395402724,-1782623889
-124029908,-1161057446
680672387,-261575287
1897856936,1578358116
-412283386,-883469098
1722570604,202551572
-1582115548,-1511925729
-2070299638,335696037
242170665,-363289977
905187386,1403037109
1018546682,-837921070
-1026040525,-887239639
-1231127825,-1922110161
-1490971426,-1599910218
774131866,-179982834
1594401726,223098132
1074561474,-472216411
1877462637,-242952812
1893053490,-1761047385
2101801765,1166857181
-1856418212,-35350419
-78429126,-1946689444
1104609954,1616974604
173156317,-846942826
-2086803727,-793788866
816114901,387705739
493617251,141434912
192155178,1696473040
-1826840980,1085588857
2033588173,-544608515
239738819,725694860
1734362139,2096055406
235925588,-955862295
1325892539,1297584362
